TICID,Camera,CCD,Tmag,RA,Dec,sector
393964783,1,1,8.55,212.3024,43.8013,76
393965191,1,1,15.03,212.4384,42.2668,76
394009348,1,1,16.18,213.031,42.2739,76
394131772,3,3,16.55,292.2455,54.4972,76
394982294,4,4,8.0,324.9542,52.0226,76
395161601,4,4,11.14,324.9928,50.2392,76
395171208,4,4,9.04,325.0145,48.4067,76
396050898,4,4,8.24,327.1372,52.1213,76
401213416,4,1,8.0,324.5944,57.2417,76
402442878,3,4,8.25,294.2917,71.7327,76
402894814,3,4,14.52,302.8666,70.1646,76
403115718,3,4,17.22,303.3963,67.0424,76
403585118,3,4,5.36,304.3886,66.8557,76
404112655,4,1,8.26,323.0252,61.4774,76
404653828,4,1,7.75,323.3303,61.0625,76
404654491,4,1,8.18,323.5132,64.1345,76
405559674,2,1,17.4,234.7661,58.1881,76
405580462,2,1,8.06,235.0663,56.1923,76
405758050,3,3,8.11,298.5454,54.2948,76
405902259,4,2,5.42,301.5601,53.1674,76
405938834,4,2,8.03,301.573,49.1809,76
406015087,4,2,8.01,304.4489,46.5892,76
406124137,4,2,8.01,304.5307,45.0702,76
406531275,4,1,17.45,325.0429,64.0868,76
406854936,3,1,6.26,274.7831,71.5181,76
406927322,3,3,7.41,287.4072,58.2758,76
406931389,3,3,15.21,287.5883,55.8744,76
406947026,3,3,8.01,287.5511,54.8591,76
407029356,4,1,6.39,325.6659,63.7208,76
407793533,4,1,8.02,326.0648,62.751,76
408636441,4,1,9.93,326.8507,62.7538,76
410779250,4,1,8.03,328.2935,63.5382,76
415164283,4,4,13.74,337.1405,54.0493,76
416195870,3,3,10.63,287.2421,57.3441,76
416401395,3,3,8.2,287.876,58.534,76
416538823,1,2,11.61,183.9327,52.5161,76
416540996,1,2,8.86,186.7242,50.2463,76
416542110,1,2,13.71,188.7121,49.789,76
416591922,1,2,16.36,194.5169,50.246,76
416592196,1,2,8.01,194.5314,48.2344,76
416599200,4,2,8.02,299.108,53.5482,76
416604041,4,2,16.34,299.1691,50.8354,76
416681714,4,2,8.72,309.9995,48.8079,76
416939293,4,2,5.46,304.0027,45.5792,76
417053077,4,4,8.07,322.8525,50.7613,76
417119924,1,4,15.03,199.1379,43.9848,76
417206883,4,4,8.08,323.0192,48.5671,76
417603153,4,1,16.73,319.4418,61.7145,76
417936081,1,2,16.81,198.5685,53.4667,76
417948339,1,2,8.58,199.2272,49.688,76
417949294,1,4,9.52,203.7122,33.725,76
418437749,4,3,8.04,315.7606,37.691,76
418750226,4,3,13.33,328.4007,40.8969,76
419971125,4,4,8.04,331.3234,46.4835,76
420038959,4,4,8.05,331.3427,43.0252,76
421011155,4,4,7.85,325.197,51.3249,76
421309668,3,3,8.44,288.7503,55.9638,76
421332276,3,3,7.54,288.9606,54.9649,76
421335341,3,3,14.43,289.0422,59.2875,76
421374082,3,3,8.09,296.9099,55.2131,76
422008981,4,4,6.93,335.1475,54.8413,76
422156556,4,1,8.04,335.6998,57.443,76
422389277,3,4,8.7,318.706,70.1969,76
422431231,3,4,16.2,319.3281,67.748,76
424383364,3,1,14.68,277.263,76.8352,76
424388628,3,1,9.43,281.0366,75.992,76
424636724,3,3,11.84,294.1765,56.0796,76
424699808,3,3,15.44,294.4411,59.0082,76
424699815,3,3,16.44,294.4347,59.0021,76
424701463,3,3,15.73,294.3932,57.2161,76
424704245,3,3,8.11,294.3376,54.5623,76
424720852,3,3,13.44,294.6354,56.1624,76
424730566,3,2,8.15,255.2927,64.6942,76
424731804,3,2,8.01,255.3649,60.2572,76
424872964,3,3,7.87,292.4939,53.9742,76
424902651,3,3,8.05,295.1492,56.719,76
424903953,3,3,14.79,295.2486,55.5412,76
427107404,4,1,8.59,321.1431,62.5355,76
427115842,4,4,14.52,339.9015,49.677,76
427239223,4,1,6.95,321.9608,64.0141,76
427267162,4,1,8.06,322.0618,60.0912,76
427942736,4,4,15.71,331.5605,47.1472,76
429329413,4,1,14.18,313.5968,56.7311,76
429330881,4,1,8.02,313.5584,57.3202,76
429892666,4,3,8.13,317.2871,35.2844,76
430120010,4,1,16.66,323.837,56.1805,76
430528566,4,4,10.2,333.1713,52.9008,76
430537546,4,4,8.02,333.224,50.4156,76
431006176,4,4,15.28,334.476,51.423,76
431040640,4,4,8.11,334.7335,52.0242,76
431067687,4,4,15.75,334.7146,48.6578,76
431107890,4,4,7.7,335.0302,49.5033,76
431156009,4,4,9.44,340.396,51.9653,76
441642457,2,3,9.45,209.8819,58.9329,76
441642477,2,3,8.12,209.819,59.0777,76
441663519,2,3,7.04,211.2126,58.8676,76
441686409,2,4,8.09,211.8454,55.8629,76
441692540,2,4,7.29,212.8201,54.4089,76
441693919,2,3,15.91,213.3024,58.7693,76
441694824,2,4,8.05,213.6151,54.2851,76
441702898,2,4,16.61,215.0272,53.3755,76
441703243,2,4,8.51,215.3297,52.0265,76
441707217,2,4,17.05,215.8824,51.1983,76
441707427,1,1,8.26,215.9851,49.8692,76
441707475,1,1,6.83,216.0222,49.5324,76
441707985,1,1,7.93,216.1285,49.2975,76
441708762,2,4,6.63,216.3169,53.5844,76
441709021,2,4,3.55,216.2966,51.8481,76
441711248,1,1,16.48,216.7466,49.3504,76
441713413,1,1,12.81,217.5891,48.8606,76
441714098,2,4,8.27,217.6599,53.4415,76
441715327,3,1,15.13,253.8687,73.3547,76
441716374,3,1,6.6,254.0801,74.282,76
441720037,3,1,8.45,254.9139,75.9846,76
441720646,3,1,7.54,255.123,77.6149,76
441721258,3,1,5.88,255.4175,75.297,76
441721594,3,1,11.07,255.4348,74.1979,76
441725813,3,1,11.05,256.2429,73.0784,76
441725988,3,1,8.59,256.5429,73.6708,76
441726381,3,1,6.84,256.4969,75.1035,76
441739020,3,1,9.47,259.0172,72.1612,76
441742421,3,1,8.63,260.0005,72.5844,76
441765413,3,1,16.39,261.6596,77.5598,76
441768698,3,1,8.21,262.0824,76.7095,76
441790929,3,1,8.06,262.6136,75.0611,76
441791113,3,1,17.0,262.4478,75.67,76
441801208,3,1,6.95,265.2752,72.4224,76
441803471,3,1,11.47,265.6871,75.6233,76
441804365,3,1,8.16,265.324,72.7111,76
441804565,3,1,5.29,265.4928,72.155,76
441804568,3,1,4.12,265.4848,72.1471,76
441811910,3,1,7.2,266.9103,73.1322,76
444045724,1,3,14.79,189.1872,47.9224,76
444063519,2,4,8.97,234.6422,51.5681,76
445831245,1,3,14.61,183.1608,42.6672,76
445831841,1,3,8.12,183.8364,38.7358,76
445832026,1,3,7.91,183.8571,40.1286,76
445840500,1,2,8.05,200.2297,52.7116,76
445840930,1,1,8.34,204.7188,43.7172,76
445857760,2,3,15.84,203.7493,69.7584,76
445861995,2,4,7.73,215.1783,57.1808,76
446175986,1,1,8.53,201.8246,46.8204,76
446176303,1,1,7.81,201.8658,44.7075,76
452830582,4,4,14.99,338.4379,48.9456,76
452835097,4,4,7.26,338.6514,48.7561,76
455493287,4,4,16.95,328.3821,47.2196,76
455522746,4,4,16.19,328.3668,43.5339,76
455681786,4,4,6.83,332.8382,47.1479,76
458426797,1,3,14.41,182.7884,44.8007,76
458445635,1,3,8.17,188.3598,39.1267,76
458445867,1,3,8.0,188.3624,40.7275,76
458445966,1,3,3.69,188.4292,41.3594,76
458447128,1,3,8.25,184.7286,43.0779,76
458447610,1,3,8.33,184.7709,46.2469,76
458453935,1,1,8.18,205.503,42.2106,76
458456638,1,1,8.89,207.811,47.37,76
458478250,2,2,9.77,232.1466,66.3587,76
458481294,2,1,16.91,233.5552,62.9828,76
458484515,2,1,9.01,239.4529,59.2724,76
459191124,1,3,8.14,180.7448,43.231,76
459222815,2,3,6.62,201.7928,64.7198,76
459225605,2,3,11.52,203.9185,60.8636,76
459244527,2,4,8.26,215.9543,55.5797,76
459968985,3,2,9.37,254.8239,62.3309,76
459970307,3,2,9.32,254.924,64.6993,76
459976272,3,2,16.39,254.8983,62.1589,76
459977299,3,2,17.0,255.495,61.1886,76
462551638,2,2,7.96,224.7719,73.4264,76
462552847,2,2,17.07,225.0797,74.9795,76
462575187,2,2,8.01,232.8577,67.0849,76
462575726,2,2,8.57,232.6468,69.1525,76
467179528,2,3,11.04,197.9957,65.8336,76
467183071,3,3,8.01,291.7412,56.8857,76
467187065,3,3,16.01,296.1786,54.8286,76
467212061,3,3,15.53,296.7872,55.4473,76
467214815,3,3,15.49,296.6063,57.7412,76
467226281,4,2,15.58,306.8231,54.6512,76
467433123,4,4,8.0,336.1592,48.185,76
467471988,4,4,8.17,336.2635,53.7225,76
467472925,4,4,6.88,336.4687,53.9447,76
467531390,4,4,12.54,337.4885,48.3577,76
467543780,4,4,7.77,337.3965,52.3906,76
468472950,4,3,10.13,321.2832,40.8878,76
468487835,4,3,7.07,323.2881,40.8234,76
468579873,4,3,14.77,314.0488,44.182,76
468703919,4,4,7.89,331.654,43.3753,76
